noun,teplyj,goryachij,colour,code
зуб,10,45,#224f41,tool
торг,10,45,#08c91a,action
горечь,10,45,#efbb2b,psych:emot
пицца,10,45,#e4c75c,food/изделие
пекло,10,45,#2abed1,space
истолкователь,10,45,#9017d9,hum
сочувствйе,10,45,black,other
устремление,10,44,#753341,ment
манта,10,44,black,other
кипение,10,44,black,other
романтик,10,44,#9017d9,hum
лепет,10,44,#7ba3e3,speech
решетка,10,44,#224f41,tool
популяризатор,10,44,#9017d9,hum
жила,10,44,#9017d9,hum
напор,10,44,#a81a64,impact
фасоль,10,44,#0f0f0c,plant
элька,10,44,black,other
книш,10,43,black,other
вафля,10,43,#e4c75c,food/изделие
апплодисменты,10,43,black,other
пресса,10,43,black,other
пререкание,10,43,black,other
стебель,10,43,black,other
патриотка,10,43,black,other
примочка,10,43,#94dd20,stuff/liq
полемист,10,43,#9017d9,hum
воронка,10,43,#2abed1,space
репортаж,10,43,#ae1e98,text
колбаска,10,43,black,other
рубеж,10,42,#2abed1,space
вишня,10,42,#0f0f0c,plant
сутолока,10,42,#ee539b,move
